,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
35912,11660290,45548,NIFTY2360818300CE,NIFTY,0,08-06-2023,18300,0.05,50,CE,NFO-OPT,NFO
35916,11662850,45558,NIFTY2360818400CE,NIFTY,0,08-06-2023,18400,0.05,50,CE,NFO-OPT,NFO
35920,11665922,45570,NIFTY2360818500CE,NIFTY,0,08-06-2023,18500,0.05,50,CE,NFO-OPT,NFO
35924,11666946,45574,NIFTY2360818600CE,NIFTY,0,08-06-2023,18600,0.05,50,CE,NFO-OPT,NFO
35928,11670274,45587,NIFTY2360818700CE,NIFTY,0,08-06-2023,18700,0.05,50,CE,NFO-OPT,NFO
35932,11677186,45614,NIFTY2360818800CE,NIFTY,0,08-06-2023,18800,0.05,50,CE,NFO-OPT,NFO
35940,11689474,45662,NIFTY2360819000CE,NIFTY,0,08-06-2023,19000,0.05,50,CE,NFO-OPT,NFO
