,InstrumentType,ExpiryDate,OptionType,StrikePrice,Open,High,Low,Close,Prev,LTP,Chng,PerChng,Volume,Value,tte,IV
18,Index Options,2023-06-15,Call,19600,1.35,1.7,1.25,-,1.5,1.4,-0.1,-6.67,84377,63.7,0.008458148148148149,0.2198002947598039
19,Index Options,2023-06-15,Call,19700,1.3,1.6,1.2,-,1.4,1.3,-0.1,-7.14,80874,56.21,0.008458148148148149,0.238303621846631
20,Index Options,2023-06-15,Call,19250,1.65,1.9,1.3,-,1.65,1.5,-0.15,-9.09,62177,52.23,0.008458148148148149,0.14559291598001062
21,Index Options,2023-06-15,Call,20000,0.8,1.0,0.7,-,0.85,0.85,0.0,0.0,58925,25.04,0.008458148148148149,0.28407750775669205
22,Index Options,2023-06-15,Call,19450,1.6,1.9,1.25,-,1.6,1.55,-0.05,-3.13,58198,47.72,0.008458148148148149,0.19063078192564706
23,Index Options,2023-06-29,Call,19000,39.9,53.45,39.9,-,35.65,50.65,15.0,42.08,53663,1321.72,0.048458148148148146,0.09347589067816715
24,Index Options,2023-06-22,Call,18700,108.0,139.9,100.0,-,97.7,134.45,36.75,37.62,52640,3417.65,0.02845814814814815,0.10360285203065099
25,Index Options,2023-06-29,Call,18700,155.0,195.0,154.5,-,145.4,189.55,44.15,30.36,43251,3990.12,0.048458148148148146,0.11294835986281633
26,Index Options,2023-06-22,Call,18800,63.0,85.0,59.95,-,56.1,80.75,24.65,43.94,42374,1645.17,0.02845814814814815,0.09605753600749606
27,Index Options,2023-06-22,Call,18900,34.0,45.9,31.25,-,29.0,42.95,13.95,48.1,36436,754.23,0.02845814814814815,0.09022613361609182
28,Index Options,2023-06-15,Call,19800,1.2,1.4,0.85,-,1.15,1.1,-0.05,-4.35,35142,20.03,0.008458148148148149,0.2534061797455665
29,Index Options,2023-06-15,Call,20200,0.7,0.8,0.5,-,0.7,0.55,-0.15,-21.43,33858,10.5,0.008458148148148149,0.30705285383077396
30,Index Options,2023-06-29,Call,18800,105.95,136.05,101.55,-,96.3,131.4,35.1,36.45,33424,2123.26,0.048458148148148146,0.10536719414844359
31,Index Options,2023-06-15,Call,19350,1.55,1.9,1.3,-,1.7,1.5,-0.2,-11.76,33006,27.23,0.008458148148148149,0.16793497469312785
32,Index Options,2023-06-29,Call,18600,222.25,263.8,212.2,-,204.4,257.95,53.55,26.2,32865,4101.72,0.048458148148148146,0.12166905295875742
33,Index Options,2023-06-22,Call,19000,15.0,22.05,15.0,-,13.9,20.35,6.45,46.4,31296,310.46,0.02845814814814815,0.08647965124659596
34,Index Options,2023-06-15,Call,20250,0.65,0.7,0.5,-,0.7,0.5,-0.2,-28.57,30255,8.77,0.008458148148148149,0.3129170001012825
35,Index Options,2023-06-22,Call,18600,170.0,208.25,169.2,-,153.2,201.3,48.1,31.4,26461,2561.56,0.02845814814814815,0.11212215815568315
36,Index Options,2023-06-29,Call,18900,67.0,88.5,67.0,-,59.75,84.75,25.0,41.84,25069,1022.56,0.048458148148148146,0.0987608204841638
37,Index Options,2023-06-29,Call,19100,22.8,29.0,20.2,-,18.5,27.25,8.75,47.3,24694,327.32,0.048458148148148146,0.08866212572716863
38,Index Options,2023-06-15,Call,19900,1.05,1.25,0.6,-,1.05,1.05,0.0,0.0,22165,11.97,0.008458148148148149,0.27159265725738024
39,Index Options,2023-06-22,Call,18750,79.0,110.55,79.0,-,74.95,105.25,30.3,40.43,20393,1044.43,0.02845814814814815,0.09927460721688004
40,Index Options,2023-06-22,Call,18850,40.1,63.75,40.1,-,41.05,60.35,19.3,47.02,20278,593.13,0.02845814814814815,0.09337519485778441
41,Index Options,2023-06-15,Call,19550,1.45,1.75,1.15,-,1.5,1.45,-0.05,-3.33,19862,15.1,0.008458148148148149,0.21026820018027936
42,Index Options,2023-06-15,Call,19650,1.4,1.6,1.15,-,1.4,1.4,0.0,0.0,19235,13.75,0.008458148148148149,0.23020739402096174
43,Index Options,2023-06-15,Call,18400,281.15,333.75,261.7,-,249.25,325.7,76.45,30.67,18714,2915.73,0.008458148148148149,0.15996006594822057
44,Index Options,2023-06-15,Call,18450,234.05,284.1,232.4,-,205.05,275.3,70.25,34.26,17646,2340.3,0.008458148148148149,0.14046495702631445
45,Index Options,2023-06-29,Call,19200,10.65,14.85,9.5,-,9.25,13.7,4.45,48.11,17204,114.23,0.048458148148148146,0.0855168890348245
46,Index Options,2023-06-15,Call,19950,1.1,1.25,0.9,-,1.05,1.05,0.0,0.0,16639,8.49,0.008458148148148149,0.2812853747387212
47,Index Options,2023-06-22,Call,18950,22.45,32.1,22.45,-,20.15,29.95,9.8,48.64,15572,225.64,0.02845814814814815,0.0880850114417462
48,Index Options,2023-06-22,Call,18650,139.95,172.85,138.15,-,124.1,166.45,42.35,34.13,15201,1214.71,0.02845814814814815,0.1077732080140678
49,Index Options,2023-06-29,Call,18500,292.0,340.0,290.95,-,273.45,333.0,59.55,21.78,14171,2301.23,0.048458148148148146,0.13040143704599777
50,Index Options,2023-06-15,Call,20100,0.7,0.9,0.65,-,0.75,0.75,0.0,0.0,12702,4.83,0.008458148148148149,0.2987341055694964
51,Index Options,2023-06-22,Call,19100,8.2,9.75,6.5,-,6.85,9.1,2.25,32.85,10813,48.17,0.02845814814814815,0.08528955097387693
52,Index Options,2023-06-15,Call,19850,1.1,1.35,0.8,-,1.2,1.15,-0.05,-4.17,10659,6.4,0.008458148148148149,0.26466234325381394
53,Index Options,2023-06-15,Call,19750,1.25,1.5,1.05,-,1.25,1.25,0.0,0.0,10344,6.72,0.008458148148148149,0.24727662665755368
54,Index Options,2023-06-22,Call,19200,3.7,5.1,3.7,-,4.2,4.65,0.45,10.71,9780,23.08,0.02845814814814815,0.08830334255665076
55,Index Options,2023-06-29,Call,19300,6.1,7.25,5.0,-,5.4,6.9,1.5,27.78,8248,28.21,0.048458148148148146,0.08457116346960714
56,Index Options,2023-06-29,Call,18750,139.0,163.95,131.0,-,119.0,158.7,39.7,33.36,8105,628.02,0.048458148148148146,0.10878064982190498
57,Index Options,2023-06-22,Call,18500,267.0,287.05,239.95,-,221.75,279.8,58.05,26.18,7831,1060.28,0.02845814814814815,0.12297415216872662
58,Index Options,2023-06-29,Call,18650,192.2,227.9,189.45,-,173.65,221.95,48.3,27.81,7551,808.86,0.048458148148148146,0.11677687904379899
59,Index Options,2023-06-29,Call,19050,28.0,39.55,28.0,-,26.1,37.35,11.25,43.1,7023,128.98,0.048458148148148146,0.09070244118167267
60,Index Options,2023-06-15,Call,18300,371.65,431.6,371.65,-,341.3,420.15,78.85,23.1,6968,1431.12,0.008458148148148149,0.1768279923612417
61,Index Options,2023-06-22,Call,19050,11.0,14.65,9.9,-,9.5,13.7,4.2,44.21,6932,45.51,0.02845814814814815,0.08566894139880989
62,Index Options,2023-06-29,Call,19500,4.3,4.9,3.55,-,4.1,4.65,0.55,13.41,6751,15.16,0.048458148148148146,0.09928886383794766
63,Index Options,2023-06-15,Call,20050,0.8,1.05,0.1,-,0.9,0.8,-0.1,-11.11,6183,2.57,0.008458148148148149,0.29152964365333683
64,Index Options,2023-06-29,Call,19150,15.95,20.7,15.2,-,13.35,19.15,5.8,43.45,6110,58.26,0.048458148148148146,0.08649932010805453
65,Index Options,2023-06-22,Call,19150,5.2,6.6,4.95,-,4.85,5.9,1.05,21.65,5390,16.41,0.02845814814814815,0.08501227736001729
66,Index Options,2023-06-22,Call,19500,3.0,3.4,2.8,-,2.8,2.85,0.05,1.79,5173,7.99,0.02845814814814815,0.1197960078451948
67,Index Options,2023-06-29,Call,18950,50.0,68.7,48.15,-,45.85,65.3,19.45,42.42,5119,160.89,0.048458148148148146,0.09532719007813682
68,Index Options,2023-06-22,Call,19300,3.2,3.75,3.15,-,3.3,3.35,0.05,1.52,4941,8.77,0.02845814814814815,0.09674639878515714
69,Index Options,2023-06-29,Call,18850,89.05,110.5,84.15,-,76.3,106.4,30.1,39.45,4680,238.89,0.048458148148148146,0.10183231543113697
70,Index Options,2023-06-15,Call,20150,0.65,0.8,0.6,-,0.75,0.65,-0.1,-13.33,4202,1.47,0.008458148148148149,0.3033148716238274
71,Index Options,2023-06-22,Call,19250,3.65,5.5,3.2,-,3.7,3.45,-0.25,-6.76,4103,7.8,0.02845814814814815,0.09047876372929113
72,Index Options,2023-07-27,Call,19500,34.95,43.45,34.95,-,34.6,42.1,7.5,21.68,3827,79.3,0.12845814814814815,0.10012519381494082
73,Index Options,2023-07-27,Call,19000,154.6,193.15,154.6,-,159.25,189.55,30.3,19.03,3808,353.63,0.12845814814814815,0.11656034877583972
74,Index Options,2023-06-29,Call,18400,389.4,422.2,368.45,-,347.4,415.0,67.6,19.46,3400,689.78,0.048458148148148146,0.14041097132397443
75,Index Options,2023-06-22,Call,19400,3.5,3.9,3.2,-,3.1,3.25,0.15,4.84,3314,5.62,0.02845814814814815,0.10939914389168422
76,Index Options,2023-07-27,Call,19300,67.9,81.25,67.6,-,62.5,79.45,16.95,27.12,3189,122.92,0.12845814814814815,0.10376909992709997
77,Index Options,2023-07-27,Call,20000,15.2,15.5,13.5,-,14.15,13.6,-0.55,-3.89,2960,21.18,0.12845814814814815,0.10914933907254522
78,Index Options,2023-06-29,Call,19400,4.05,5.05,4.05,-,4.2,4.65,0.45,10.71,2796,6.53,0.048458148148148146,0.08901249334920312
79,Index Options,2023-06-29,Call,19250,8.85,10.3,7.15,-,7.0,9.75,2.75,39.29,2707,12.9,0.048458148148148146,0.08490982356908955
80,Index Options,2023-06-22,Call,18550,206.95,246.0,205.5,-,185.7,238.15,52.45,28.24,2657,308.03,0.02845814814814815,0.11623715083672927
81,Index Options,2023-06-29,Call,20000,2.5,2.9,2.4,-,2.65,2.85,0.2,7.55,2528,3.43,0.048458148148148146,0.13776707993174592
82,Index Options,2023-07-27,Call,19200,96.0,110.25,95.45,-,85.9,108.0,22.1,25.73,2216,115.97,0.12845814814814815,0.10701834347165597
83,Index Options,2023-12-28,Call,19000,795.0,833.7,795.0,-,773.35,827.0,53.65,6.94,2032,834.2,0.5684581481481481,0.17045698947578947
84,Index Options,2023-06-29,Call,19700,3.85,4.55,3.4,-,3.6,4.05,0.45,12.5,1791,3.55,0.048458148148148146,0.11664266105177432
85,Index Options,2023-06-29,Call,19800,3.6,4.05,3.45,-,3.55,3.8,0.25,7.04,1761,3.37,0.048458148148148146,0.12497419836474795
86,Index Options,2023-06-29,Call,18550,255.0,300.0,255.0,-,237.25,293.95,56.7,23.9,1576,223.28,0.048458148148148146,0.12552513735365584
87,Index Options,2023-06-22,Call,19600,2.4,3.0,2.35,-,2.4,2.65,0.25,10.42,1486,2.03,0.02845814814814815,0.1307889508683807
88,Index Options,2023-07-27,Call,18700,339.7,363.1,339.7,-,311.3,357.0,45.7,14.68,1428,253.01,0.12845814814814815,0.13199943532998656
89,Index Options,2023-06-29,Call,18300,461.2,511.35,460.9,-,431.15,501.45,70.3,16.31,1353,332.27,0.048458148148148146,0.15099952209422024
90,Index Options,2023-07-27,Call,19100,128.0,147.0,120.05,-,118.25,144.2,25.95,21.95,1325,92.77,0.12845814814814815,0.11114266311501562
91,Index Options,2023-06-22,Call,19550,2.55,4.15,2.55,-,2.5,2.85,0.35,14.0,1259,1.88,0.02845814814814815,0.1260253842615859
92,Index Options,2023-12-28,Call,18000,1465.2,1515.0,1465.2,-,1437.7,1500.0,62.3,4.33,1224,916.64,0.5684581481481481,0.20132938382509602
93,Index Options,2023-06-15,Call,18200,472.1,530.0,472.1,-,439.75,519.55,79.8,18.15,1224,313.06,0.008458148148148149,0.20667195548555237
94,Index Options,2023-08-31,Call,19500,111.0,133.3,111.0,-,109.45,129.3,19.85,18.14,1195,76.07,0.22845814814814816,0.11229841120525817
95,Index Options,2023-06-22,Call,19450,3.05,3.5,2.95,-,3.0,3.1,0.1,3.33,1189,1.91,0.02845814814814815,0.11499647372394267
96,Index Options,2023-07-27,Call,18800,259.0,299.85,259.0,-,254.2,294.7,40.5,15.93,1188,173.28,0.12845814814814815,0.12632390607829896
97,Index Options,2023-06-29,Call,18000,741.4,791.6,741.4,-,701.65,781.0,79.35,11.31,1153,446.01,0.048458148148148146,0.1890874608711421
98,Index Options,2023-06-15,Call,18000,671.6,728.0,671.55,-,638.35,720.05,81.7,12.8,1082,386.23,0.008458148148148149,0.27122052667835234
99,Index Options,2023-06-15,Call,18350,331.2,380.45,331.2,-,296.9,373.9,77.0,25.93,1071,193.9,0.008458148148148149,0.1725201488069878
100,Index Options,2023-07-27,Call,18900,226.9,244.35,225.15,-,203.05,238.25,35.2,17.34,1063,126.06,0.12845814814814815,0.12098856094449979
101,Index Options,2023-06-29,Call,19600,4.2,4.75,3.75,-,3.9,4.4,0.5,12.82,1009,2.18,0.048458148148148146,0.1083671030706906
102,Index Options,2023-07-27,Call,19800,19.7,21.3,18.0,-,19.05,19.6,0.55,2.89,976,9.94,0.12845814814814815,0.10354440481279394
103,Index Options,2023-08-31,Call,19000,323.35,338.95,314.8,-,298.25,332.65,34.4,11.53,951,157.11,0.22845814814814816,0.12911551507041177
104,Index Options,2023-12-28,Call,20000,314.95,334.45,309.0,-,302.7,329.4,26.7,8.82,889,144.52,0.5684581481481481,0.14067019992973226
105,Index Options,2023-06-22,Call,18400,322.0,373.05,322.0,-,299.05,365.0,65.95,22.05,878,155.2,0.02845814814814815,0.13451266351819038
106,Index Options,2023-07-27,Call,18500,459.95,499.0,459.95,-,438.45,492.25,53.8,12.27,876,212.66,0.12845814814814815,0.14257090210971177
107,Index Options,2023-06-29,Call,19350,4.65,5.8,4.65,-,4.65,5.5,0.85,18.28,805,2.23,0.048458148148148146,0.08636235594650886
108,Index Options,2023-06-29,Call,22000,1.8,2.25,1.75,-,1.8,2.1,0.3,16.67,792,0.81,0.048458148148148146,0.28713073159044766
109,Index Options,2023-09-28,Call,19000,450.0,478.0,449.95,-,429.8,473.0,43.2,10.05,789,184.87,0.30845814814814815,0.14555507947121396
110,Index Options,2023-07-27,Call,18600,391.2,430.0,391.2,-,373.1,424.0,50.9,13.64,754,157.48,0.12845814814814815,0.13778840951114743
111,Index Options,2023-07-06,Call,19000,74.05,88.5,74.05,-,64.45,85.0,20.55,31.89,662,27.58,0.06845814814814816,0.1004253355533195
112,Index Options,2023-06-22,Call,20000,2.05,2.05,1.55,-,1.8,1.85,0.05,2.78,574,0.53,0.02845814814814815,0.1698028485487611
113,Index Options,2023-06-29,Call,18450,349.0,379.8,346.9,-,310.45,374.65,64.2,20.68,558,101.17,0.048458148148148146,0.13621136426523656
114,Index Options,2023-06-29,Call,15000,3737.05,3770.0,3737.05,-,3682.25,3765.0,82.75,2.25,520,979.03,0.048458148148148146,0.6352375135334891
115,Index Options,2023-06-29,Call,18100,653.5,695.55,653.5,-,606.45,685.4,78.95,13.02,493,168.62,0.048458148148148146,0.17546223734859812
116,Index Options,2023-08-31,Call,20000,37.0,41.85,36.15,-,34.7,40.1,5.4,15.56,456,9.22,0.22845814814814816,0.10414830494240072
117,Index Options,2023-07-27,Call,18000,850.0,908.5,850.0,-,832.25,899.6,67.35,8.09,426,190.31,0.12845814814814815,0.1760264423057185
118,Index Options,2023-09-28,Call,20000,93.0,100.05,93.0,-,89.5,98.45,8.95,10.0,412,20.18,0.30845814814814815,0.11667136437399414
119,Index Options,2023-09-28,Call,18000,1148.55,1193.35,1148.55,-,1106.5,1175.05,68.55,6.2,401,235.31,0.30845814814814815,0.18940724027885444
120,Index Options,2023-06-29,Call,21000,2.0,2.55,1.85,-,2.05,2.45,0.4,19.51,383,0.44,0.048458148148148146,0.2172288814000214
121,Index Options,2023-06-22,Call,20250,1.55,3.65,1.25,-,1.55,1.8,0.25,16.13,363,0.32,0.02845814814814815,0.19633785845636034
122,Index Options,2023-06-22,Call,19800,1.9,2.7,1.8,-,1.9,2.05,0.15,7.89,347,0.36,0.02845814814814815,0.14941610206964553
123,Index Options,2023-07-06,Call,18700,212.4,242.15,212.4,-,191.45,235.0,43.55,22.75,345,40.11,0.06845814814814816,0.11831252898886116
124,Index Options,2023-06-22,Call,18450,291.0,328.35,286.3,-,259.95,318.5,58.55,22.52,325,51.06,0.02845814814814815,0.12548824976617914
125,Index Options,2023-06-22,Call,19350,4.0,4.95,3.1,-,3.3,3.1,-0.2,-6.06,318,0.52,0.02845814814814815,0.10208174827845867
126,Index Options,2023-06-15,Call,18100,581.7,630.15,581.7,-,538.75,624.7,85.95,15.95,315,96.39,0.008458148148148149,0.25963692317186526
127,Index Options,2023-06-22,Call,18300,395.0,466.5,395.0,-,382.8,455.0,72.2,18.86,306,68.25,0.02845814814814815,0.14699986500097778
128,Index Options,2023-06-29,Call,19900,3.1,4.45,2.85,-,3.1,3.25,0.15,4.84,304,0.5,0.048458148148148146,0.13127622405647027
129,Index Options,2023-06-29,Call,19450,4.35,5.7,3.8,-,4.25,4.8,0.55,12.94,285,0.71,0.048458148148148146,0.09469485221304025
130,Index Options,2023-06-22,Call,19650,2.45,4.0,2.25,-,2.45,2.4,-0.05,-2.04,280,0.35,0.02845814814814815,0.13493030860810415
131,Index Options,2023-07-06,Call,19400,12.45,13.7,12.05,-,10.7,13.55,2.85,26.64,267,1.74,0.06845814814814816,0.09259571347937487
132,Index Options,2023-07-06,Call,18600,283.0,313.1,279.6,-,251.3,302.9,51.6,20.53,260,38.43,0.06845814814814816,0.12589556989570783
133,Index Options,2023-08-31,Call,18500,624.95,648.0,624.5,-,589.9,640.0,50.1,8.49,238,76.07,0.22845814814814816,0.14929739110742662
134,Index Options,2023-07-27,Call,19150,178.7,178.7,121.65,-,308.6,127.1,-181.5,-58.81,203,12.77,0.12845814814814815,0.10985086527311962
135,Index Options,2023-08-31,Call,18700,486.55,510.0,486.55,-,461.3,504.05,42.75,9.27,199,50.09,0.22845814814814816,0.14022905071426958
136,Index Options,2023-12-28,Call,18500,1119.35,1148.0,1117.25,-,1078.05,1146.0,67.95,6.3,196,111.56,0.5684581481481481,0.18577125882629497
137,Index Options,2023-07-06,Call,18800,158.65,180.3,158.55,-,139.7,178.0,38.3,27.42,163,14.03,0.06845814814814816,0.11287850047816297
138,Index Options,2023-06-15,Call,18250,435.65,480.65,434.8,-,389.05,475.85,86.8,22.31,160,36.67,0.008458148148148149,0.2133847929814048
139,Index Options,2023-06-29,Call,18350,429.35,467.45,429.35,-,388.65,455.95,67.3,17.32,151,34.36,0.048458148148148146,0.14430931871804523
140,Index Options,2023-06-29,Call,17500,1221.0,1281.2,1221.0,-,1185.55,1270.3,84.75,7.15,150,94.83,0.048458148148148146,0.26010126223804203
141,Index Options,2023-07-06,Call,20200,5.0,13.15,4.75,-,29.6,5.15,-24.45,-82.6,147,0.41,0.06845814814814816,0.1420451818448369
142,Index Options,2023-06-29,Call,17000,1739.0,1778.0,1735.0,-,1679.55,1769.35,89.8,5.35,146,128.42,0.048458148148148146,0.33688947034858135
143,Index Options,2023-07-27,Call,18750,307.5,330.3,307.5,-,281.2,326.85,45.65,16.23,137,21.99,0.12845814814814815,0.12975413999736576
144,Index Options,2023-07-06,Call,18500,341.45,380.05,340.5,-,317.8,374.7,56.9,17.9,128,23.51,0.06845814814814816,0.13257924255290043
145,Index Options,2023-06-29,Call,19850,3.3,4.15,2.5,-,3.3,3.8,0.5,15.15,125,0.22,0.048458148148148146,0.1296561950516934
146,Index Options,2023-06-15,Call,18150,529.5,579.75,529.5,-,490.85,568.95,78.1,15.91,125,34.71,0.008458148148148149,0.2197226977212184
147,Index Options,2023-07-27,Call,18400,542.0,574.4,542.0,-,514.3,568.0,53.7,10.44,122,34.18,0.12845814814814815,0.14892844629290664
148,Index Options,2023-06-22,Call,19750,2.35,3.4,2.1,-,2.15,2.15,0.0,0.0,114,0.14,0.02845814814814815,0.14458342064810387
149,Index Options,2023-09-28,Call,17000,2036.4,2065.0,2034.0,-,1980.7,2040.0,59.3,2.99,108,110.53,0.30845814814814815,0.24103310990723031
