,InstrumentType,ExpiryDate,OptionType,StrikePrice,Open,High,Low,Close,Prev,LTP,Chng,PerChng,Volume,Value,tte,IV
0,Index Options,2023-06-15,Call,18700,48.5,74.95,48.1,-,40.5,68.55,28.05,69.26,2240048,73339.17,0.008458148148148149,0.09394716855112374
1,Index Options,2023-06-15,Call,18800,15.1,27.7,15.1,-,14.7,24.2,9.5,64.63,1128618,13137.11,0.008458148148148149,0.08598962682056793
2,Index Options,2023-06-15,Call,18750,27.2,47.75,25.2,-,25.05,42.3,17.25,68.86,1062382,21863.82,0.008458148148148149,0.08879040464903969
3,Index Options,2023-06-15,Call,18650,73.2,109.25,63.0,-,62.95,101.85,38.9,61.8,946179,45355.09,0.008458148148148149,0.10069116252955516
4,Index Options,2023-06-15,Call,18600,104.5,148.95,96.05,-,91.0,140.55,49.55,54.45,832876,55373.76,0.008458148148148149,0.10872676238461332
5,Index Options,2023-06-15,Call,18900,4.55,6.7,2.85,-,4.55,5.65,1.1,24.18,807320,2357.37,0.008458148148148149,0.08163573382033577
6,Index Options,2023-06-15,Call,18850,8.2,14.0,7.05,-,7.95,12.05,4.1,51.57,720590,4262.29,0.008458148148148149,0.08274361768199269
7,Index Options,2023-06-15,Call,19000,7.0,7.0,2.1,-,2.45,2.25,-0.2,-8.16,447150,543.29,0.008458148148148149,0.09307277207045259
8,Index Options,2023-06-15,Call,18950,3.0,4.5,2.45,-,3.1,3.05,-0.05,-1.61,302918,508.9,0.008458148148148149,0.08482904524373973
9,Index Options,2023-06-15,Call,19100,2.0,2.55,1.7,-,1.95,1.8,-0.15,-7.69,212790,202.15,0.008458148148148149,0.11415263835530608
10,Index Options,2023-06-15,Call,19300,1.45,2.0,1.4,-,1.7,1.5,-0.2,-11.76,206828,173.74,0.008458148148148149,0.1568306381366089
11,Index Options,2023-06-15,Call,18500,180.0,237.65,179.95,-,162.5,229.65,67.15,41.32,170302,18699.16,0.008458148148148149,0.13161285340942822
12,Index Options,2023-06-15,Call,19500,1.3,1.85,0.05,-,1.5,1.5,0.0,0.0,148098,117.0,0.008458148148148149,0.2005462349384233
13,Index Options,2023-06-15,Call,19050,2.1,2.2,1.7,-,2.0,1.9,-0.1,-5.0,146701,143.77,0.008458148148148149,0.10287467811770235
14,Index Options,2023-06-15,Call,18550,145.55,192.0,142.9,-,124.2,183.2,59.0,47.5,146648,12740.05,0.008458148148148149,0.11819417858313679
15,Index Options,2023-06-15,Call,19200,1.75,2.0,1.55,-,1.75,1.55,-0.2,-11.43,134630,117.13,0.008458148148148149,0.1348584739451308
16,Index Options,2023-06-15,Call,19150,1.8,2.05,1.5,-,1.75,1.65,-0.1,-5.71,100392,91.36,0.008458148148148149,0.12444704454865171
17,Index Options,2023-06-15,Call,19400,1.55,1.85,1.3,-,1.65,1.5,-0.15,-9.09,94731,77.68,0.008458148148148149,0.17891659724367667
